phrase	prompt	prompt_ID
My chest break out with red pimples and whiteheads.	Acne	0
itch at front and center of scalp	Hair falling out	10
I get breakouts on my chest with red patches that get more intense when i get hot.	Acne	0
i can't ride my car at night because i have blurry vision.	Blurry vision	2
I feel pain in the knee	Knee pain	18
I can't stand with this horrible feeling in my stomach	Stomach ache	24
When I tried to be warm and wear more clothes I found that I was still cold	Feeling cold	7
My knee is hurting so badly.	Joint pain	17
fell skull is cracked like nuts	Head ache	12
It is like I have a needle pushing through my heart.	Heart hurts	13
My chest acne breaks out and never clears up.	Acne	0
my hair isn't well	Hair falling out	10
I feel a great amount of pressure of my head.	Head ache	12
my hand open wound got infected	Infected wound	14
I feel great pressure in my chest	Hard to breath	11
I have an open wound in my arm	Open wound	21
i cant sleep because of cough	Cough	4
It is hard to breath when I am in the underground metro station, why?	Hard to breath	11
can't do any exercise, i feel weak	Body feels weak	3
I'm very worried that I'll go bald soon. Am I very sick?	Hair falling out	10
i feel that is great pain in my left shoulder	Shoulder pain	22
Is there a cure for acne?	Acne	0
I have a pain in my muscle	Muscle pain	19
I feel sad like hurt or pain	Emotional pain	6
I have found some issues in my skin and tried to use cream but it doesn't get better	Skin issue	23
I have a red rash that is itchy on my skin	Skin issue	23
I feel pain in my neck after waking up	Neck pain	20
My neck has been sore since the accident.	Neck pain	20
I feel a pain on the left side of my chest, where my heart is	Heart hurts	13
When I wake up I am feeling cold	Feeling cold	7
there is acne on my face	Acne	0
I'm not good i'm feeling so cold	Feeling cold	7
I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.	Open wound	21
It's hard to stand up, and I'm moving very slowly	Body feels weak	3
There is so much pain when I move my arm.	Shoulder pain	22
I lose a lot of my hair	Hair falling out	10
i have injured myself during the soccer match	Injury from sports	15
When I wake up in the morning I feel a soreness in my body	Muscle pain	19
I feel pain in my heart when I wake up	Heart hurts	13
I feel like something is squeezing my lungs.	Hard to breath	11
My foot had been aching since last Tuesday.	Foot ache	9
My back hurts a lot when I bend	Back pain	1
Everything looks like beeing in a smoky area.	Blurry vision	2
Have severe cold and cough	Cough	4
Chronic bowel Pain	Internal pain	16
When I played football I dislocated my shoulder	Injury from sports	15
I feel pain in my right shoulder after the tennis match.	Injury from sports	15
There is this pain that radiates from my chest up to my left arm.	Heart hurts	13
I have pimples in patches along with a lot of redness on my face.	Acne	0
i can't move my leg, there is pain in the joint	Joint pain	17
I have a mental suffering	Emotional pain	6
I feel a sharp pain in my ankle joint when I stand.	Joint pain	17
My head hurts in the back and the pain lasts all day.	Head ache	12
What helps cuts heal faster?	Open wound	21
My knee doesn't want to bend well.	Knee pain	18
My knees seem to grind as I go up or down stairs.	Knee pain	18
When i'm awake in the morning I feel strange and have vertigo	Feeling dizzy	8
My sore isn't healing well and it's been like this for two weeks.	Open wound	21
After walking I have some pain under my foot	Foot ache	9
I hit myself and the would doesn't want to heal	Open wound	21
I have some pain when i'm walking around my knees	Joint pain	17
When I stand up too quick my vision is blurry.	Blurry vision	2
I suffered a deep wound in my hand and I can not stop the bleeding	Infected wound	14
The severe pain in the stomach I feel	Stomach ache	24
There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!	Feeling cold	7
I can`t stop coughing.	Cough	4
There is an injured person	Infected wound	14
It hurts when I raise my arm up	Shoulder pain	22
I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open	Open wound	21
When I eat too much sugar my body gets weak and dizzy.	Body feels weak	3
My right shoulder clicks when I move my arm.	Shoulder pain	22
I have a rash and it itches very bad.	Skin issue	23
I have constant stomach pain and bloating.	Internal pain	16
My foot hurts and I can't turn it.  Maybe it's broken.	Foot ache	9
I knocked my foot and it really hurts.	Foot ache	9
My son has a lot of acne.	Acne	0
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.	Internal pain	16
My stomach feels starts hurting but then it feels better after I eat something mild.	Stomach ache	24
My neck feels stiff	Neck pain	20
I feel dizzy after doing a muscular effort.	Feeling dizzy	8
I feel lightheaded when I stand up	Feeling dizzy	8
I feel a lot of pain in the joints.	Joint pain	17
The acne was causing me to feel embarrassed.	Acne	0
Whenever I stand up I feel dizzy.	Feeling dizzy	8
I have a split on my thumb that will not heal.	Open wound	21
i was playing football and injuried with joint pain.	Joint pain	17
I can't see the sign I have a blurry vision	Blurry vision	2
My heart hurts while I'm sad, why?	Heart hurts	13
I have a headache almost every day	Head ache	12
There is a constant tickle in my throat	Cough	4
There are lots of hairs on my pillow in the morning.	Hair falling out	10
I have a scab on the back of my hand that just won't go away.	Skin issue	23
I have a very rash sensation close to my arms	Skin issue	23
When i'm doing sport I have pain under my skin	Muscle pain	19
I hit my head at the basketball game.  Could I have a concussion?	Injury from sports	15
My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.	Heart hurts	13
i was diagnosed with pneumonia, i can't breath easily.	Hard to breath	11
my neck hurts me and i can't look down or up	Neck pain	20
I don't do anything at home and still I feel exhausted.	Body feels weak	3
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.	Joint pain	17
I wake up at night feeling cold	Feeling cold	7
When I go to sleep I am feeling cold	Feeling cold	7
my back hurts me a lot	Back pain	1
Feels like there are pins and needles sticking in my joints	Joint pain	17
I have internal pain whenever I come down with a cold.	Internal pain	16
I cough a lot when I smell perfume, what is wrong with my lungs?	Cough	4
I have eruptions on my face that come and go .	Acne	0
i have a very bad cough	Cough	4
I've tried reading books, but nothing can cheer me up.	Emotional pain	6
I feel a great pain in my shoulder joint and it does not go away	Joint pain	17
I have a rash on my skin	Skin issue	23
When I play football I have joint pain.	Joint pain	17
Severe pain in the ear	Ear ache	5
Chronic disease of hair follicles and sebaceous glands	Acne	0
When I carry heavy things i feel like breaking my back	Back pain	1
I feel abdominal pain	Stomach ache	24
i walked a long for 3 km, i feel pain in my foot like foot ache	Foot ache	9
There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.	Hard to breath	11
Need to scratch my skin every minute	Skin issue	23
My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.	Infected wound	14
It hurts when I bent my arm	Joint pain	17
I have pain in my stomach	Stomach ache	24
Stomach pain after drinking milk	Stomach ache	24
The wound is still open	Open wound	21
When I eat sugar I notice my vision blurs.	Blurry vision	2
I have pain in my colon and my stomach like something cutting it	Stomach ache	24
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.	Ear ache	5
My body feels weak after my first day in the gym, why?	Body feels weak	3
It's hard to see things	Blurry vision	2
My cough is very heavy and I have mucus.	Cough	4
I feel strong pain in my knee after it was hit during the football match.	Injury from sports	15
Oh my heart hurts me I tried to be calm and I can't	Heart hurts	13
standing less than five minutes and my back start to ache	Back pain	1
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.	Infected wound	14
Is pimples a skin disease?	Acne	0
I fell off my bike and since then I had hard  knee pain	Knee pain	18
I'm having a hard time reading because the letters are all fuzzy	Blurry vision	2
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.	Foot ache	9
I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.	Acne	0
My head is so heavy can't think normally	Head ache	12
I feel hurts in my heart	Heart hurts	13
I feel a sharp pain in the stomach after eating	Stomach ache	24
Since I went into the forest  I have pain on my ear	Ear ache	5
I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary.	Blurry vision	2
i feel pain in my back	Back pain	1
i have a pain in my trapes	Muscle pain	19
I fell a stiffness in my elbows and shoulders	Joint pain	17
My hair is coming out in chunks, especially when I wash it	Hair falling out	10
My ear is ringing.	Ear ache	5
I can't turn my neck to the left without feeling a stabbing pain	Neck pain	20
My wound opened up again	Open wound	21
i hit the ground when trying to shoot a basketball	Injury from sports	15
my shoulder is hurting me	Shoulder pain	22
Every morning when I wake up my neck feels like I slept on in wrong.	Muscle pain	19
I feel discomfort throughout the body in general	Body feels weak	3
I can't sleep I have a hard cough	Cough	4
After a breakup  I feel something strange in me.	Emotional pain	6
i have a strong shoulder pain	Shoulder pain	22
I can't stand with this horrible feeling in my shoulder	Shoulder pain	22
I'm in need for a treatment for my hair fall	Hair falling out	10
I feel pain in my ears with tinnitus	Ear ache	5
I feel like there is something swollen and inflamed at the back of my knee.	Knee pain	18
There's swelling in my neck and it hurts.	Neck pain	20
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.	Head ache	12
I think there's fluid in my ears.	Ear ache	5
When I force my eyes to view I have blurry vision.	Blurry vision	2
My heart is pumping fast and I'm having a hard time to breath.	Hard to breath	11
My acne itches and oozes.	Acne	0
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.	Infected wound	14
When I was young I had an injury from sports in my knee.	Injury from sports	15
My biceps started aching after I went to the gym	Muscle pain	19
I feel cold although we are in summer.	Feeling cold	7
I have a blurry vision since I woke up this morning, what could be the reason?	Blurry vision	2
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.	Open wound	21
i have severe dry cough	Cough	4
I hardly have enough stength to get up,	Body feels weak	3
Sterilizer for the eye	Blurry vision	2
My shoulder aches when I try to lift five pounds.	Shoulder pain	22
I have shooting pain in my kneecap after working out.	Knee pain	18
I have shoulder pain when I try to carry my groceries.	Shoulder pain	22
I feel weak all over.	Body feels weak	3
The crushing sensation on my heart leaves me breathless.	Heart hurts	13
My head hurts when I'm doing this.	Head ache	12
When I bend over I get a shooting pain down my back	Back pain	1
i can't breath because of  Cough	Cough	4
There is pain in my joints. I can not bear pain	Joint pain	17
I broke my ankle while doing rock climbing in the Carpathians.	Injury from sports	15
I've been feeling very sad lately	Emotional pain	6
I can't get a girlfriend because of my acne.	Acne	0
When I play football I have muscle pain.	Muscle pain	19
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.	Back pain	1
I have a hair shortage	Hair falling out	10
i am having problems seeing things feel like a cloud on my eyes everything is blurry	Blurry vision	2
I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.	Infected wound	14
I get terrible headaches every few months and when I get them my vision is affected.	Head ache	12
I have a dry skin	Skin issue	23
my heart hurts me	Heart hurts	13
I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help	Injury from sports	15
I am having running nose	Feeling cold	7
I got injured exercising	Injury from sports	15
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.	Ear ache	5
I've had this cough for two weeks.	Cough	4
I feel a soreness in my knees when I walk	Joint pain	17
My wound was infected when i was planting some flowers in my garden	Infected wound	14
I can't move my head up and down.	Neck pain	20
Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.	Foot ache	9
I feel pain in my neck while I'm working.	Neck pain	20
I have a headache every time I eat ice cream	Head ache	12
Sharp pain and heavy breathing	Internal pain	16
There is a sharp pain in my calve.	Muscle pain	19
I feel dizzy when i make sudden movements	Feeling dizzy	8
i was injured during football match, i was diagnosed with Cruciate ligament	Injury from sports	15
I have a sharp pain in my ear	Ear ache	5
I used alot of pain killer to get better but i still feel the same back pain	Back pain	1
I feel cold and chills even though my clothes are heavy	Feeling cold	7
When I stand up, I feel like I'm going to fall down instantly	Feeling dizzy	8
My head ache since I woke up this morning.	Head ache	12
I feel a sharp pain in my head when I think too hard.	Head ache	12
I have a cut on my foot that became infected from using the showers at the gym.	Infected wound	14
I had a pain in my knee when I was swimming	Knee pain	18
I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.	Neck pain	20
i'm injured i can't play sports	Injury from sports	15
My lungs feel heavy like they are filled with mucus	Cough	4
I can't stop coughing	Cough	4
The knee feels like it rusted and I suddenly cannot bend it anymore.	Knee pain	18
He was discovered to have an open wound.	Open wound	21
My shoulder hurts me so much	Shoulder pain	22
I feel pain inside I do not know what it is	Internal pain	16
Every time I look to left I feel a sharp pain in my neck.	Neck pain	20
when i raise my hand i feel pain in my shoulder.	Shoulder pain	22
I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.	Foot ache	9
I felt my heart hurts when I ran for along distance	Heart hurts	13
My head hurts and I lose the sensation in my face, then lose sight in my eye	Head ache	12
I get i joint pain when i try to bend my leg or my arm	Joint pain	17
I feel great pain in my feet after playing one of the sports games	Injury from sports	15
I have blurred vision.	Blurry vision	2
Why is my shoulder aching when I try to pick up the laundry?	Shoulder pain	22
My arm hurts when I stretch	Muscle pain	19
His infected wound was beginning to rot.	Infected wound	14
I get big patches of irritated pimples on my back and they hurt.	Acne	0
longitudinal burning line across back with hard respiratory movements	Back pain	1
My chest hurts when I go to take a breath	Hard to breath	11
i feel sad	Emotional pain	6
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.	Feeling cold	7
I'm not feeling good I get infection wound	Infected wound	14
having difficulty moving my knee	Knee pain	18
My hair always falls out and i have lost a lot of hair lately	Hair falling out	10
I wish this excruciating feeling of loss could go away.	Emotional pain	6
I feel like the world goes round and round	Feeling dizzy	8
I feel like I can hardly breathe unless I get what's in my lungs out	Cough	4
My body feels weak although I eat a lot, why?	Body feels weak	3
There are some pimples on my face that bother me a lot	Acne	0
I couldn't stop shaking or unclench my jaw, that's how cold I was.	Feeling cold	7
I don't have the energy to do the things that I used to	Body feels weak	3
My body feels weak and i think that my face is fade and i can't sleep well	Body feels weak	3
My ankle joint throbs when I put pressure on my foot.	Joint pain	17
I feel like I've always got something in my throat	Cough	4
I always feel like I have menstrual pains even if I don't have my period.	Internal pain	16
I feel depressed when I see my hair falling out	Hair falling out	10
I have throbing in my shoulder	Shoulder pain	22
I feel like the room is spinning	Feeling dizzy	8
There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog.	Internal pain	16
I am always cold, even when I am wearing layers	Feeling cold	7
When my grand father died I felt a hard emotional pain	Emotional pain	6
I feel pain in my head with a vertigo	Head ache	12
I have blurry vision after I used a wrong medicine.	Blurry vision	2
My calves feel like they are tight as knots and are throbbing	Muscle pain	19
I have a lot of knee pain whenever I go running.	Knee pain	18
i have muscle pain at my left leg.	Muscle pain	19
I have a neck pain when I sit in-front of my laptop.	Neck pain	20
i have a pain in my elbow joint	Joint pain	17
I have a pain in my head	Head ache	12
My stomach has been sore since yesterday.	Stomach ache	24
My acne is really embarassing. It's so read.	Acne	0
Something dark is there on my arm	Skin issue	23
When i'm driving my eyes see in double	Blurry vision	2
My upper back has been sore for a week.	Back pain	1
I have severe shoulder pain	Shoulder pain	22
I am worried how cold intolerant I am, I am always shivering, even out in the sun.	Feeling cold	7
I'm having a hard time hearing.	Ear ache	5
I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back.	Injury from sports	15
I had internal pain and gases when I ate indian spicy food yesterday	Internal pain	16
In highschool I had a lot of acne.	Acne	0
When I'm too high I start to feel dizzy	Feeling dizzy	8
When I drink a lot, I get a headache	Head ache	12
The last time I clipped my toenails, I cut them too short and now I have an infected nail.	Infected wound	14
after playing football, i have muscle pain with my both legs.	Muscle pain	19
When i eat i feel my stomach hurts	Stomach ache	24
All my body is in a bad case and i need a good treatment	Joint pain	17
I visited many doctors but they can't find the right treatment toget my hair back	Hair falling out	10
I have a cut that has become red and oozes puss.	Infected wound	14
My grandmother last year went to hospital because she was having a hard time breathing	Hard to breath	11
i have issue with my skin	Skin issue	23
Sometimes I cough because I'm a smoker	Cough	4
I'm not good i feel dizzy	Feeling dizzy	8
I sliced myself deeply with a knife while I was cooking	Open wound	21
My hair is falling when I am combing it.	Hair falling out	10
discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.	Internal pain	16
I have tried to make massage on my foot but they still pain me	Foot ache	9
My foot hurts me a lot of playing football	Foot ache	9
I get chills and aches all over.	Feeling cold	7
Mr hair is falling out just by combing it.	Hair falling out	10
I have some terrible problems when i'm breathing during the night.	Cough	4
My stomach feels full and upset  and bloating after big meals.	Stomach ache	24
My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.	Emotional pain	6
I have a head pain every single day.	Internal pain	16
My heart feels like it's going to explode.	Heart hurts	13
My shoulder hurts when I try to reach something above my head.	Shoulder pain	22
I was very active in sports but now my body is feeling pain.	Injury from sports	15
I've been over my cold for weeks but still cough every day.	Cough	4
I can't hear out of my ear properly, I feel like there is something in it causing irritation.	Ear ache	5
I have pain in my chest that saddens me.	Heart hurts	13
My ear ache when I'm listening to music.	Ear ache	5
I'm feeling nauseous	Stomach ache	24
My stomach aches when I eat hot food, why?	Stomach ache	24
My husband has a spot on his lip that he though was cold sore but now it has broken open and leaks fluid all day.	Infected wound	14
I don't have problems taking in breath but out breath is so heavy	Hard to breath	11
My joints ache whenever it is cold	Joint pain	17
red flushes accompanied with itchy	Skin issue	23
My head is spinning when I get up.	Feeling dizzy	8
When I tried to answer the phine call I found that I can't hear the voice of the speaker	Ear ache	5
i can hardly breathe	Hard to breath	11
I feel severe itching in the skin with redness	Skin issue	23
Pain in the large neck	Neck pain	20
The area around my heart doesn't feel good.	Heart hurts	13
Yesterday I had a shouder pain	Shoulder pain	22
My shoulder has agreat pain	Shoulder pain	22
I have a pain in my stomach	Internal pain	16
I feel a pain in my back when I sit on a chair for long.	Back pain	1
there pain in my foot	Foot ache	9
I complain alot with my neck pain and i really need to be better	Neck pain	20
i feel cold	Feeling cold	7
I get clusters of pimples on my face that never go away.	Acne	0
It feels like I can't take a deep breath	Hard to breath	11
I have a painful cramp in my feet	Foot ache	9
i cant breathe	Cough	4
When I do hard exercises I feel great pain in my muscles.	Muscle pain	19
I feel dizzy and out of sight	Feeling dizzy	8
I complain alot with skin allergy	Skin issue	23
