phrase,prompt
My body feels weak although I take my vitamins regularly.,Body feels weak
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue
I have a red rash that is itchy on my skin,Skin issue
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
I feel pain in my neck after waking up,Neck pain
My neck has been sore since the accident.,Neck pain
"i feel hurt, lot of pain in my heart",Emotional pain
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain
"It is hard to breath when I am in the underground metro station, why?",Hard to breath
I have a dull ache in my head,Head ache
"I feel a pain on the left side of my chest, where my heart is",Heart hurts
When I wake up I am feeling cold,Feeling cold
there is acne on my face,Acne
I'm not good i'm feeling so cold,Feeling cold
I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,Open wound
"It's hard to stand up, and I'm moving very slowly",Body feels weak
There is so much pain when I move my arm.,Shoulder pain
I read a book for along time and when I finished reading I feel head ache,Head ache
I lose a lot of my hair,Hair falling out
i have injured myself during the soccer match,Injury from sports
My television and computer seem out of focus even though I have new glasses.,Blurry vision
When I wake up in the morning I feel a soreness in my body,Muscle pain
I feel a great amount of pressure of my head.,Head ache
I feel pain in my heart when I wake up,Heart hurts
I break out on my face very frequently,Acne
I have a back pain since I turned 70 years old.,Back pain
I feel like something is squeezing my lungs.,Hard to breath
My foot had been aching since last Tuesday.,Foot ache
My back hurts a lot when I bend,Back pain
I feel pain in the knee,Knee pain
Everything looks like beeing in a smoky area.,Blurry vision
"Every time I make an effort, I felt dizzy.",Feeling dizzy
Have severe cold and cough,Cough
I feel like something is squeezing my lungs.,Hard to breath
I feel pain in the knee when walking,Knee pain
Chronic bowel Pain,Internal pain
When I played football I dislocated my shoulder,Injury from sports
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts
I feel pain in my right shoulder after the tennis match.,Injury from sports
There is this pain that radiates from my chest up to my left arm.,Heart hurts
I have pimples in patches along with a lot of redness on my face.,Acne
"i can't move my leg, there is pain in the joint",Joint pain
I feel a tightness in my chest,Hard to breath
I have a mental suffering,Emotional pain
I feel a sharp pain in my ankle joint when I stand.,Joint pain
My head hurts in the back and the pain lasts all day.,Head ache
What helps cuts heal faster?,Open wound
My knee doesn't want to bend well.,Knee pain
My knees seem to grind as I go up or down stairs.,Knee pain
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy
My sore isn't healing well and it's been like this for two weeks.,Open wound
After walking I have some pain under my foot,Foot ache
I hit myself and the would doesn't want to heal,Open wound
I have some pain when i'm walking around my knees,Joint pain
When I stand up too quick my vision is blurry.,Blurry vision
Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound
The severe pain in the stomach I feel,Stomach ache
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold
I can`t stop coughing.,Cough
There is an injured person,Infected wound
It hurts when I raise my arm up,Shoulder pain
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
When I eat too much sugar my body gets weak and dizzy.,Body feels weak
When I stand up too quick my vision is blurry.,Blurry vision
My right shoulder clicks when I move my arm.,Shoulder pain
I have a rash and it itches very bad.,Skin issue
I have constant stomach pain and bloating.,Internal pain
My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache
I knocked my foot and it really hurts.,Foot ache
My son has a lot of acne.,Acne
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain
I feel a tightness in my chest,Hard to breath
My stomach feels starts hurting but then it feels better after I eat something mild.,Stomach ache
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain
My neck feels stiff,Neck pain
I feel dizzy after doing a muscular effort.,Feeling dizzy
I have pimples in patches along with a lot of redness on my face.,Acne
I feel lightheaded when I stand up,Feeling dizzy
I feel a burning sensation in my shoulder muscle.,Muscle pain
I feel a lot of pain in the joints.,Joint pain
The acne was causing me to feel embarrassed.,Acne
I have a mental suffering,Emotional pain
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain
Whenever I stand up I feel dizzy.,Feeling dizzy
I have a split on my thumb that will not heal.,Open wound
i was playing football and injuried with joint pain.,Joint pain
I can't see the sign I have a blurry vision,Blurry vision
The pain in my ear is unbearable.,Ear ache
When I stand I feel dizzy I do not know why,Feeling dizzy
I have a red rash that is itchy on my skin,Skin issue
"My heart hurts while I'm sad, why?",Heart hurts
I have a headache almost every day,Head ache
There is a constant tickle in my throat,Cough
My body aches on the inside between my hips and shoulders.,Internal pain
My throught is so sore.,Neck pain
There are lots of hairs on my pillow in the morning.,Hair falling out
I have a scab on the back of my hand that just won't go away.,Skin issue
I have a very rash sensation close to my arms,Skin issue
When i'm doing sport I have pain under my skin,Muscle pain
I hit my head at the basketball game.  Could I have a concussion?,Injury from sports
"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts
my hair isn't well,Hair falling out
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath
my neck hurts me and i can't look down or up,Neck pain
I don't do anything at home and still I feel exhausted.,Body feels weak
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain
I feel lightheaded,Feeling dizzy
I wake up at night feeling cold,Feeling cold
When I go to sleep I am feeling cold,Feeling cold
i can't move my shoulder because of pain,Shoulder pain
my back hurts me a lot,Back pain
Feels like there are pins and needles sticking in my joints,Joint pain
I have internal pain whenever I come down with a cold.,Internal pain
I get breakouts on my chest with red patches that get more intense when i get hot.,Acne
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough
i can't ride my car at night because i have blurry vision.,Blurry vision
I have eruptions on my face that come and go .,Acne
i have a hard pain in my stomach,Stomach ache
There is a constant tickle in my throat,Cough
My throught is so sore.,Neck pain
"Every time I make an effort, I felt dizzy.",Feeling dizzy
i have a very bad cough,Cough
"I've tried reading books, but nothing can cheer me up.",Emotional pain
I feel a great pain in my shoulder joint and it does not go away,Joint pain
I have a rash on my skin,Skin issue
When I play football I have joint pain.,Joint pain
Severe pain in the ear,Ear ache
What helps cuts heal faster?,Open wound
Chronic disease of hair follicles and sebaceous glands,Acne
When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath
My shoulder muscle hurts when I try to reach up.,Muscle pain
When I carry heavy things i feel like breaking my back,Back pain
I have dark spots on my skin,Skin issue
I feel abdominal pain,Stomach ache
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache
I feel fluid trying to come up when I cough.,Cough
"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath
Need to scratch my skin every minute,Skin issue
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound
It hurts when I bent my arm,Joint pain
I have pain in my stomach,Stomach ache
Stomach pain after drinking milk,Stomach ache
i feel pain in my knee,Knee pain
The wound is still open,Open wound
There is an injured person,Infected wound
When I eat sugar I notice my vision blurs.,Blurry vision
I have pain in my colon and my stomach like something cutting it,Stomach ache
I feel dizzy whenever I stand up.,Feeling dizzy
My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache
Even though I'm an adult my face keeps breaking out in pimples.,Acne
"My body feels weak after my first day in the gym, why?",Body feels weak
When I play football I have joint pain.,Joint pain
It's hard to see things,Blurry vision
i have a problem in seeing objects it is too difficult to see,Blurry vision
My joints feel swollen,Joint pain
I feel abdominal pain,Stomach ache
My cough is very heavy and I have mucus.,Cough
I feel strong pain in my knee after it was hit during the football match.,Injury from sports
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I have a rash on my skin,Skin issue
Oh my heart hurts me I tried to be calm and I can't,Heart hurts
standing less than five minutes and my back start to ache,Back pain
It hurts when I raise my arm up,Shoulder pain
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound
Is pimples a skin disease?,Acne
I fell off my bike and since then I had hard  knee pain,Knee pain
When I wake up I am feeling cold,Feeling cold
I'm having a hard time reading because the letters are all fuzzy,Blurry vision
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
My son has a lot of acne.,Acne
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",Acne
My cough is very heavy and I have mucus.,Cough
I feel abdominal pain,Stomach ache
My head is so heavy can't think normally,Head ache
I feel hurts in my heart,Heart hurts
"i can't walk, my knee hurts me",Knee pain
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough
I feel a sharp pain in the stomach after eating,Stomach ache
Since I went into the forest  I have pain on my ear,Ear ache
My knee doesn't want to bend well.,Knee pain
"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary.",Blurry vision
Every time I take a deep breath I start coughing,Cough
i feel pain in my back,Back pain
"Every time I make an effort, I felt dizzy.",Feeling dizzy
I feel a tightness in my chest,Hard to breath
I feel a sharp pain in my ankle joint when I stand.,Joint pain
My stomach feels starts hurting but then it feels better after I eat something mild.,Stomach ache
i have a pain in my trapes,Muscle pain
The pain in my ear is unbearable.,Ear ache
I fell a stiffness in my elbows and shoulders,Joint pain
When I play sports  I have some burning sensation in my spine,Back pain
"My hair is coming out in chunks, especially when I wash it",Hair falling out
When I stand up too quick my vision is blurry.,Blurry vision
I have a very rash sensation close to my arms,Skin issue
It hurts when I raise my arm up,Shoulder pain
My ear is ringing.,Ear ache
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain
When I play football I have joint pain.,Joint pain
My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache
When I eat too much sugar my body gets weak and dizzy.,Body feels weak
I can't turn my neck to the left without feeling a stabbing pain,Neck pain
My heart is beating fast and it scares me.,Heart hurts
My wound opened up again,Open wound
i hit the ground when trying to shoot a basketball,Injury from sports
My son has a lot of acne.,Acne
I have a foot ache after running 500m with my running shoes.,Foot ache
my shoulder is hurting me,Shoulder pain
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain
"It's hard to stand up, and I'm moving very slowly",Body feels weak
I feel pain in my knee when I climb the stairs.,Joint pain
"i feel hurt, lot of pain in my heart",Emotional pain
I feel discomfort throughout the body in general,Body feels weak
I can't sleep I have a hard cough,Cough
After a breakup  I feel something strange in me.,Emotional pain
i have a strong shoulder pain,Shoulder pain
I can't stand with this horrible feeling in my shoulder,Shoulder pain
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
I'm in need for a treatment for my hair fall,Hair falling out
I have a lot of mucus when I cough.,Cough
I feel pain in my ears with tinnitus,Ear ache
my back hurts me a lot,Back pain
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain
I feel strong pain in my knee after it was hit during the football match.,Injury from sports
There's swelling in my neck and it hurts.,Neck pain
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache
I think there's fluid in my ears.,Ear ache
Feels like there are pins and needles sticking in my joints,Joint pain
The wound is still open,Open wound
When I force my eyes to view I have blurry vision.,Blurry vision
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath
"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts
When i'm doing sport I have pain under my skin,Muscle pain
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain
My acne itches and oozes.,Acne
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound
When I stand up too quick my vision is blurry.,Blurry vision
When I was young I had an injury from sports in my knee.,Injury from sports
I m feeling cold though the temperature is high,Feeling cold
I feel pain in my knee when I climb the stairs.,Joint pain
My biceps started aching after I went to the gym,Muscle pain
I feel cold although we are in summer.,Feeling cold
Chronic disease of hair follicles and sebaceous glands,Acne
I have a split on my thumb that will not heal.,Open wound
I feel lightheaded when I stand up,Feeling dizzy
"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision
I tried alot of cream but i still feel the same skin problem,Skin issue
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound
"I have a foot ache in winter, or when it feels cold, why?",Foot ache
glass broken and wound my leg badly the wound is so wide,Open wound
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
My knee catches and hurts when I first stand up after sitting.,Knee pain
i have a hard pain in my stomach,Stomach ache
i have severe dry cough,Cough
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache
"I hardly have enough stength to get up,",Body feels weak
Sterilizer for the eye,Blurry vision
My shoulder aches when I try to lift five pounds.,Shoulder pain
i have a hard pain in my stomach,Stomach ache
I have shooting pain in my kneecap after working out.,Knee pain
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound
I have shoulder pain when I try to carry my groceries.,Shoulder pain
I feel weak all over.,Body feels weak
The crushing sensation on my heart leaves me breathless.,Heart hurts
I'm not good i'm feeling so cold,Feeling cold
My head hurts when I'm doing this.,Head ache
When I force my eyes to view I have blurry vision.,Blurry vision
It is like I have a needle pushing through my heart.,Heart hurts
When I bend over I get a shooting pain down my back,Back pain
When I play football I have joint pain.,Joint pain
i can't breath because of  Cough,Cough
There is pain in my joints. I can not bear pain,Joint pain
My right shoulder clicks when I move my arm.,Shoulder pain
i have a strong shoulder pain,Shoulder pain
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports
I've been feeling very sad lately,Emotional pain
Feels like there are pins and needles sticking in my joints,Joint pain
I feel pain in my ears with tinnitus,Ear ache
i feel pain in my knee,Knee pain
My son has a lot of acne.,Acne
When I go to sleep I am feeling cold,Feeling cold
I can't get a girlfriend because of my acne.,Acne
When I play football I have muscle pain.,Muscle pain
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain
I feel suicidal.,Emotional pain
I have a hair shortage,Hair falling out
I have pimples in patches along with a lot of redness on my face.,Acne
My television and computer seem out of focus even though I have new glasses.,Blurry vision
The acne was causing me to feel embarrassed.,Acne
i am having problems seeing things feel like a cloud on my eyes everything is blurry,Blurry vision
I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.,Infected wound
I get terrible headaches every few months and when I get them my vision is affected.,Head ache
I have a mental suffering,Emotional pain
I have a dry skin,Skin issue
my heart hurts me,Heart hurts
I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help,Injury from sports
I fell a stiffness in my elbows and shoulders,Joint pain
I am having running nose,Feeling cold
i'm disappointed,Emotional pain
I got injured exercising,Injury from sports
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache
I'm suffering from sharp cough Accompanied by  phlegm,Cough
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache
I've had this cough for two weeks.,Cough
I feel increased heart rate with prick,Heart hurts
My kneecap feels like it is grating bone on bone when I walk.,Knee pain
I have a cold and it makes me cough alot,Cough
I feel pain in my heart when I wake up,Heart hurts
I feel a soreness in my knees when I walk,Joint pain
My wound was infected when i was planting some flowers in my garden,Infected wound
Feel like something is being jabbed into my joints,Joint pain
"I have a foot ache in winter, or when it feels cold, why?",Foot ache
