,phrase,prompt
572,계단을 오를 때 무릎에 뼈대가 아파요.,관절 통증
609,무거운 물건을 들려고하면 어깨가 몹시 아파요,어깨 통증
526,의자에 오래 앉아 있으면 등이 아파요.,허리 통증
415,너무 열심히 생각하면 머리에 날카로운 아픔을 느낍니다.,두통
685,흉곽 안에 이상하고 강력한 통증이 느껴져,심장이 아파
585,무거운 물건을 옮길 때 허리가 아파요,허리 통증
689,얼음처럼 쌀쌀합니다. 언니는 충분히 따뜻해 지려면 담요 몇 개가 필요하다고 말했습니다.,추워요
529,나 추워,추워요
594,가슴이 막히는 느낌,기침
456,머리카락이 빠지는 걸 보면 우울해,머리카락이 빠지다
535,어지럽고 시야가 안 좋아,어지러운
408,갑자기 움직이면 어지러워,어지러운
432,스포츠 게임을 한 후 발에 큰 통증을 느낍니다.,스포츠로 인한 부상
601,나는 머리에 큰 고통을 느낀다,두통
619,머리가 아파요,두통
447,폐 속을 빼 내지 않으면 숨을 쉴 수 없을 것 같은 느낌,기침
454,항상 목에 뭔가있는 것 같아,기침
537,뜨거운 물에 빠진 것 같아,피부 문제
702,내 마음이 불타 오르는 느낌이 듭니다.,심장이 아파
458,방이 돌고있는 것 같아,어지러운
565,등이 아파요,허리 통증
462,현기증으로 머리가 아파요,두통
592,어제 달리고 나서 다리 근육이 아파요. 진통제를 좀 먹었는데 도움이 안 돼요.,근육통
404,일하는 동안 목이 아파요.,목 통증
553,목이 아파요,기침
425,내 안에 아픔이 뭔지 모르겠어,내부 통증
520,발적과 함께 피부에 심한 가려움을 느낍니다.,피부 문제
631,숨쉬기가 너무 힘들어,호흡 곤란
620,내 몸이 매우 약한 느낌,몸이 약한 느낌
552,청소하는 동안 창문을 통해 떨어졌고 왼쪽 눈에 유리 파편이 박혔습니다. 꽤 심각한 것 같습니다. 도와주세요!,열린 상처
437,나는 등에 자극받은 여드름이 많이 생기고 아파요.,좌창
498,나는 온통 오한과 아파요.,추워요
530,나는 결코 사라지지 않는 내 얼굴에 여드름 덩어리가 생깁니다.,좌창
431,다리나 팔을 구부리려고하면 관절통이 생깁니다.,관절 통증
417,수영 할 때 무릎이 아팠어요,무릎 통증
598,배가 몹시 아프다,복통
647,어제 운동을 많이해서 근육통이 날카로 워요,근육통
630,사고를 당했고 병원에 도착했을 때 상처가 열렸습니다.,열린 상처
479,어제 인도의 매운 음식을 먹었을 때 내 통과 가스가 있었어요,내부 통증
597,어제 머리를 맞은 후 시야가 흐릿합니다.,흐릿한 시야
488,나는 붉어지고 고름이 나는 상처가 있습니다.,감염된 상처
574,허리에 둔한 통증이있어 움직이기 어렵습니다.,허리 통증
615,나는 배가 무뎌졌다. 먹으면 더 나빠집니다.,내부 통증
575,나는 내 통증 완화와 함께 두근 거리는 통증처럼 내 발에 큰 통증이 있습니다.,발 통증
613,복통이 심해서 아무것도 못 먹어요,복통
389,머리카락이 부족합니다,머리카락이 빠지다
503,나는 매일 머리가 아파요.,내부 통증
465,달릴 때마다 무릎이 많이 아파요.,무릎 통증
622,편두통이 있고 파나 돌을 복용했지만 도움이되지 않습니다,두통
467,노트북 앞에 앉을 때 목이 아파요.,목 통증
468,팔꿈치 관절이 아파요,관절 통증
469,머리가 아파요,두통
642,관절이 아파요,관절 통증
525,배가 아파요,내부 통증
532,발에 통증이 있습니다.,발 통증
684,복부에 날카로운 통증이 있습니다.,내부 통증
564,발가락 사이에 상처가있어 하룻밤 사이에 나아졌다가 일하기 위해 구두를 신으면 매일 다시 열립니다.,열린 상처
671,얼굴 전체에 여드름이 있습니다,좌창
548,샤워 할 때 귀가 아파요,귀 통증
463,잘못된 약을 사용한 후 시야가 흐릿합니다.,흐릿한 시야
602,몸통이 전반적으로 불편합니다.,내부 통증
490,나는 내 피부에 문제가있다,피부 문제
466,왼쪽 다리에 근육통이 있습니다.,근육통
509,가슴이 아파서 슬프다.,심장이 아파
555,등에 여드름이 있습니다.,좌창
475,어깨에 심한 통증이 있습니다,어깨 통증
377,식료품을 들고 다닐 때 어깨가 아파요.,어깨 통증
500,밤에 숨을 쉴 때 끔찍한 문제가 있습니다.,기침
549,내 마음에 끔찍한 아픔이 있어요,심장이 아파
542,내 몸에 힘이없는 느낌,몸이 약한 느낌
457,어깨에 두근 두근,어깨 통증
496,나는 내 발에 마사지를하려고했지만 여전히 나를 아프게합니다.,발 통증
560,나는 과도한 점액으로 백일해를 앓고 있으며 점액 용해제가 필요합니다.,기침
441,나는 단지 따뜻해지는 것 같지 않다. 주변 사람들이 모두 따뜻해도 항상 추워요.,추워요
478,역도를 너무 많이했을 수도 있습니다. 등 근육이 찢어 졌을까 봐 걱정이됩니다.,스포츠로 인한 부상
569,의사를 만나야합니다. 상처가났습니다,열린 상처
538,머리를 빗어 주면 평소보다 머리카락이 더 많이 나오는 걸 알아 챘어요,머리카락이 빠지다
652,나는 사물을 가까이에서 보려고 할 때 시력이 크게 감소하는 것을 발견했습니다.,흐릿한 시야
493,요리하는 동안 칼로 썰어 놨어요,열린 상처
595,체온이 매우 낮은 것 같아요.,추워요
561,"내 상처에 뭔가 이상이 있다고 생각하는데, 낫지 않는 것 같습니다.",감염된 상처
411,나아지기 위해 많은 진통제를 사용했지만 여전히 같은 허리 통증을 느낍니다.,허리 통증
487,나는 많은 의사를 방문했지만 내 머리를 되 찾을 올바른 치료법을 찾지 못했습니다.,머리카락이 빠지다
418,나는 매일 아침 뻣뻣한 목으로 깨어납니다. 마사지는 도움이되지만 며칠 후 다시 돌아옵니다.,목 통증
581,매일 걷다가 지금은 조금만 가다가 숨이 차다.,호흡 곤란
562,어젯밤 축구를하다가 머리가 찼어요.,스포츠로 인한 부상
608,나는 배로 여행하고 있었는데 어지럽다.,어지러운
506,나는 스포츠에 매우 적극적 이었지만 지금은 내 몸이 고통을 느끼고 있습니다.,스포츠로 인한 부상
511,구역질이나요,복통
477,듣기가 힘들어요.,귀 통증
442,기분이 좋지 않아 감염 상처,감염된 상처
492,안좋아 어지러워,어지러운
507,나는 몇 주 동안 감기에 걸렸지 만 여전히 매일 기침을합니다.,기침
556,숨쉬기가 힘듭니다. 심장 마비입니까?,호흡 곤란
399,나는 2 주 동안이 기침을했다.,기침
539,최근에 머리카락이 많이 빠지는 것을 보았습니다.,머리카락이 빠지다
480,고등학교 때 여드름이 많이 났어요.,좌창
674,내 상처가 감염된 건가요 아니면 그냥 치유 되나요?,감염된 상처
531,심호흡 못 할 것 같아,호흡 곤란
543,내 심장이 내 몸에서 튀어 나올 것 같은 느낌입니다. 아파요.,심장이 아파
576,이명으로 시작되었지만 오늘날에는 고통이 욱신 거리고 견딜 수 없습니다.,귀 통증
438,심한 호흡 운동으로 등을 가로 지르는 세로 연소 선,허리 통증
499,빗질하는 것만으로도 머리카락이 빠진다.,머리카락이 빠지다
471,내 여드름은 정말 창피합니다. 너무 읽었습니다.,좌창
453,발에 압력을 가하면 발목 관절이 두근 거립니다.,관절 통증
435,스트레칭하면 팔이 아파,근육통
540,내 몸은 냉장고에있는 것 같다.,추워요
448,많이 먹어도 몸이 약해 지는데 왜?,몸이 약한 느낌
452,몸이 약해져서 얼굴이 희미 해져서 잘 수없는 것 같아,몸이 약한 느낌
464,내 종아리는 매듭처럼 단단하고 욱신 거리는 느낌,근육통
567,내 cbc 보고서는 10 hb를 나타내며 작은 일에 지쳤습니다.,몸이 약한 느낌
559,내 자른 노란색 또는 녹색 고름,감염된 상처
510,음악을들을 때 귀가 아파요.,귀 통증
636,온몸이 얼어 있습니다.,추워요
590,내 얼굴은 모두 여드름으로 찢어졌습니다.,좌창
497,내 발은 축구를 많이해서 아프다,발 통증
489,작년에 할머니는 호흡이 힘들어서 병원에 갔어요,호흡 곤란
551,샤워를하고 머리카락이 빠진다.,머리카락이 빠지다
494,빗질 할 때 머리카락이 떨어집니다.,머리카락이 빠지다
414,오늘 아침에 일어나서 머리가 아파요.,두통
430,머리가 아파서 얼굴에 감각을 잃고 눈에 시력을 잃어,두통
517,일어나면 머리가 빙빙 돌고 있어요.,어지러운
504,심장이 터질 것 같은 느낌이 들어요.,심장이 아파
696,운동하면 마음이 아파,심장이 아파
513,남편은 입술에 구순 포진이 있었지만 지금은 부러져서 하루 종일 액체가 새는 부분이 있습니다.,감염된 상처
580,감염된 상처로 인해 열이 발생했습니다.,감염된 상처
515,추울 때마다 관절이 아파요,관절 통증
599,무릎이 약해져서 요 전날 계단 꼭대기에서 무너졌습니다. 다행히도 붙잡을 수있는 레일이있었습니다.,무릎 통증
593,춥고 비오는 날에는 무릎이 아파요.,무릎 통증
420,폐가 점액으로 가득 찬 것처럼 무거워요,기침
502,내 마음이 아파하는 것처럼 매우 슬프다. 머릿속에서 느끼는 느낌이 끔찍하고 이별을 생각하면 슬픔에 잠겨 울다.,정서적 고통
524,어깨가 몹시 아파,어깨 통증
424,어깨가 너무 아파,어깨 통증
505,머리 위로 무언가에 닿으려고하면 어깨가 아파요.,어깨 통증
640,피부가 가렵다.,피부 문제
579,내 아들은 몇 주 전에 문신을했고 그 주위의 피부가 뜨거워지고 감염된 것처럼 보입니다.,감염된 상처
596,"탄산 음료를 마신 후 배가 아파요, 왜요?",복통
512,"뜨거운 음식을 먹으면 배가 아파요, 왜요?",복통
501,내 배는 배가 부풀어 오르고 배가 고프다.,복통
470,어제부터 배가 아팠어요.,복통
649,내 체온이 떨어지고 내 몸이 합쳐져,추워요
474,내 허리가 일주일 동안 아파요.,허리 통증
521,큰 목의 통증,목 통증
516,가려움과 함께 붉은 홍조,피부 문제
472,내 팔에 뭔가 어두운 것이있어,피부 문제
491,가끔은 담배를 피워서 기침을합니다,기침
587,때때로 내 몸은 이유없이 일주일을 느낀다,몸이 약한 느낌
633,"때로는 밖이 추울 때, 특히 터질 준비가 된 여드름 주변에서 얼굴이 아파요.",좌창
611,몸 전체를 움직이는 것을 제외하고는 좌우를 볼 수없는 강성,목 통증
522,내 심장 주변이 기분이 좋지 않습니다.,심장이 아파
577,겨울이 가면 기침의 느낌이 증가합니다.,기침
422,무릎이 녹슬었던 것 같고 갑자기 더 이상 구부릴 수 없습니다.,무릎 통증
483,마지막으로 발톱을 깎았을 때 너무 짧게 잘라서 이제는 감염된 발톱이 생겼습니다.,감염된 상처
570,내 등의 통증은 날카로운 칼처럼,허리 통증
550,우리 집의 온난화 시스템이 깨져서 너무 추워,추워요
449,얼굴에 여드름이 많아서,좌창
582,어깨 칼날에 뭉친 매듭 같은 느낌이 듭니다.,어깨 통증
583,이두박근에 날카로운 통증이있다,근육통
407,내 송아지에 날카로운 통증이 있습니다.,근육통
606,이렇게 할 때마다 귀에 날카로운 통증이 있습니다.,귀 통증
459,오른쪽 배꼽 아래에 극심한 압력이있어 조깅하러 나갈 때마다 느낍니다.,내부 통증
527,내 발에 통증이있다,발 통증
653,TV를 보니 갑자기 시야가 흐릿 해졌습니다,흐릿한 시야
686,헤어 토닉 사용,머리카락이 빠지다
544,맹장염의 증상은 무엇입니까?,내부 통증
381,몸을 구부리면 허리에 쏘는 통증이 생깁니다.,허리 통증
534,힘든 운동을 할 때 근육에 큰 통증을 느낍니다.,근육통
482,많이 마시면 두통이 생깁니다,두통
485,먹을 때 배가 아파요,복통
650,일어나면 피부가 희미 해져,피부 문제
427,손을 들었을 때 어깨가 아파요.,어깨 통증
568,너무 빨리 일어나면 기절 할 것 같은 느낌이 든다.,어지러운
518,phine 전화를 받으려고했을 때 스피커의 음성이 들리지 않는다는 것을 알았습니다.,귀 통증
651,머리가 빠지면 조심하려고했는데,머리카락이 빠지다
563,걸을 때 발바닥에 찌르는듯한 통증이 생깁니다,발 통증
573,걸을 때 숨쉬기가 힘듭니다.,호흡 곤란
607,계단을 올라갈 때 오른쪽 무릎이 아파요.,무릎 통증
473,내가 운전할 때 내 눈을 두 배로 볼,흐릿한 시야
481,너무 높으면 어지러워,어지러운
461,할아버지가 돌아가 셨을 때 나는 심한 감정적 고통을 느꼈다,정서적 고통
523,어제 나는 shouder 고통을 겪었다,어깨 통증
189,가래를 동반 한 날카로운 기침,기침
226,가슴 왼쪽 가슴이 아파요,심장이 아파
212,가슴에 큰 압박을 느낍니다,호흡 곤란
245,가슴에서 왼팔까지 퍼지는 고통이 있습니다.,심장이 아파
628,가슴의 왼쪽 상단에 심한 통증이 있고 허리에 통증이있을 수 있습니다.,심장이 아파
191,가슴이 답답함을 느낀다,호흡 곤란
151,가장 심한 두통은 20 대 숙취 때였습니다. 저는 진심으로 뇌 염증으로 죽을 것이라고 생각했습니다.,두통
81,감기에 걸려 기침을 많이 해요,기침
302,감기에 걸릴 때마다 내통이 있습니다.,내부 통증
19,감염된 상처가 발열을 일으킴,피부 문제
152,감염으로 인해 중이에 문제가 있습니다.,귀 통증
624,감정적으로 뭉개진 느낌,정서적 고통
363,강제로 눈을봤을 때 시야가 흐릿합니다.,흐릿한 시야
286,거의 매일 두통이 있습니다,두통
256,걸은 후 발 밑에 약간의 통증이 있습니다.,발 통증
70,걸을 때 무릎이 아파,무릎 통증
400,걸을 때 무릎이 아파요,관절 통증
156,걸을 때 무릎이 아파요,무릎 통증
147,걸을 수 없어 무릎이 아파,무릎 통증
121,겨울에 발이 아프거나 추울 때 왜?,발 통증
323,결장과 위장에 뭔가 베인 것처럼 아파요,복통
253,계단을 오르 내릴 때 무릎이 꺾이는 것 같습니다.,무릎 통증
68,계단을 오를 때 무릎이 아파요.,관절 통증
168,고추 먹었을 때 여드름이 났어요,좌창
217,곧 대머리가 될까 봐 걱정이됩니다. 나는 매우 아파요?,머리카락이 빠지다
115,관절에 바늘 같은 통증이 있습니다.,관절 통증
383,관절에 통증이 있습니다. 나는 고통을 참을 수 없다,관절 통증
301,관절에 핀과 바늘이 달라 붙은 것 같은 느낌,관절 통증
279,관절이 많이 아파요.,관절 통증
165,관절이 부어 오르는 느낌,관절 통증
625,관절이 욱신 거린다,관절 통증
239,구부리면 허리가 많이 아파,허리 통증
665,귀가 가렵다.,귀 통증
171,귀가 심하게 아프다,귀 통증
324,귀가 아파서 삼키면 더 심해집니다. 귀가 너무 아프고 타이레놀이 도움이되지 않았습니다.,귀 통증
410,귀에 날카로운 통증이 있습니다,귀 통증
310,귀에 심한 통증,귀 통증
362,귀에 액체가있는 것 같아요.,귀 통증
175,귀의 통증은 견딜 수 없습니다.,귀 통증
0,그녀를 기억하면 기분이 나빠,정서적 고통
656,그녀를 생각하면 아파,정서적 고통
423,그는 열린 상처가있는 것으로 밝혀졌습니다.,열린 상처
277,근력 운동을 한 후 어지럽다.,어지러운
100,근육을 더 이완시켜주는 크림이 필요해,근육통
645,근육이 나아지지 않습니다,근육통
220,근육이 아파요,근육통
119,근육이 피곤해,몸이 약한 느낌
334,글씨가 모두 흐릿해서 읽기 힘들어,흐릿한 시야
46,기관지 천식이있어서 만기에 문제가 있습니다.,호흡 곤란
157,기분이 좋지 않아 숨을 쉴 수가 없어,호흡 곤란
160,기온이 높아도 추워요,추워요
382,기침 때문에 숨이 멎어,기침
214,기침 때문에 잠을 잘 수가 없다,기침
187,기침 할 때 올라 오려고하는 액체가 느껴집니다.,기침
134,기침 할 때 점액이 많아요.,기침
263,기침을 멈출 수 없습니다.,기침
421,기침을 멈출 수 없어,기침
327,기침이 매우 무겁고 점액이 있습니다.,기침
266,깡통을 열어 손가락을 자르면 출혈이 멈추지 않고 상처가 벌어지고 벌어집니다,열린 상처
236,깨어 나면 가슴이 아파요,심장이 아파
227,깨어 나면 추워요,추워요
224,깨어 난 후 목이 아파요,목 통증
105,나는 B12 결핍 빈혈 진단을 받았기 때문에 항상 추위를 느꼈습니다.,추워요
391,나는 감염되어 이제 고름으로 가득 찬 내 콧 구멍 중 하나의 피부가 부러졌습니다.,감염된 상처
393,나는 건조한 피부를 가지고 있습니다,피부 문제
67,나는 걷고 바깥에있는 것을 좋아하지만 발바닥이 너무 빨리 아파요.,발 통증
603,나는 공을 잡으려고 점프하면서 넘어졌다.,스포츠로 인한 부상
283,나는 관절통으로 축구와 부상을 당했다.,관절 통증
108,나는 그것을 구제하려고 노력했지만 할 수 없습니다,몸이 약한 느낌
257,나는 나 자신을 때리고 치유하고 싶지 않을 것입니다.,열린 상처
282,나는 낫지 않을 엄지가 갈라졌다.,열린 상처
698,나는 내 감정에 혼란이있다,정서적 고통
667,나는 내 등에 화이트 헤드와 블랙 헤드 무리가 생겼다.,좌창
210,나는 내 머리의 큰 압력을 느낀다.,두통
162,나는 내 몸에 고통을 느낀다,내부 통증
114,나는 내 여드름이 싫어.,좌창
158,나는 내면의 고통을 느끼고 그것을 식별 할 수 없다,내부 통증
292,나는 농구 경기에서 머리를 쳤다. 뇌진탕을해도 될까요?,스포츠로 인한 부상
349,나는 농구를하려고 할 때 땅에 부딪쳤다,스포츠로 인한 부상
200,나는 더워지면 더 강해지는 붉은 반점으로 가슴에 뾰루지가 생깁니다.,좌창
14,나는 디아를 위해 가지고,심장이 아파
336,나는 마지막 임신 때까지 여드름 문제가 없었습니다. 갑자기 허리가 zits로 덮였습니다.,좌창
305,나는 매우 심한 기침을합니다,기침
136,나는 먹은 후에 종종 복통이 생깁니다. 나는 어떤 음식이 방아쇠가 될 수 있는지 정확히 알 수 없었습니다.,복통
371,나는 며칠 전에 손을 자르고 그것이 필요하다고 생각하지 않았지만 그것이 닫히지 않았습니다.,열린 상처
392,"나는 몇 달에 한 번씩 끔찍한 두통을 앓고 있으며, 두통이 생기면 시력에 영향을 미칩니다.",두통
62,나는 몇 주 전에 손을 자르고 항생제 크림을 계속 사용하더라도 나아지지 않습니다.,감염된 상처
124,나는 무릎에 무게를 싣기 위해 고군분투하고있다. 똑바로 서있을 때 나는 시끄러운 터지는 소리를 느낀다.,무릎 통증
269,나는 발진이 있고 매우 가렵습니다.,피부 문제
196,나는 보통 독감에 걸리면 심한 기침을합니다.,기침
313,나는 복통을 느낀다,복통
618,나는 붉고 부은 상처가 있습니다.,감염된 상처
96,나는 사라지지 않을 귀가 아파요. 감기 나 두통이나 다른 증상이 없습니다. 그냥 귀가 아파요.,귀 통증
159,나는 소화 불량이 있습니다,복통
289,나는 손등에 딱지가있어서 사라지지 않을 것입니다.,피부 문제
60,나는 수영장에서 발을 자르고 그것을 걸을 때 매일 부러집니다.,열린 상처
663,나는 시간 간격을두고 어깨 통증을 느낀다.,어깨 통증
135,나는 실망했다,정서적 고통
86,나는 앞머리가 아프고 그것을 얻으면 빛이 나를 괴롭힌다.,두통
700,나는 약하다고 느낀다,몸이 약한 느낌
355,나는 어깨에 심한 통증이있다,어깨 통증
378,나는 온통 약하다고 느낍니다.,몸이 약한 느낌
373,나는 일어날 힘이 거의없고,몸이 약한 느낌
181,나는 자살을 느낀다.,정서적 고통
107,나는 자주 내 얼굴에 터진다,좌창
248,나는 정신적 고통이 있습니다,정서적 고통
629,나는 정원을 좋아하지만 몸을 기울이면 허리에 끔찍한 꼬임이 생깁니다.,허리 통증
53,나는 종종 가슴에 날카로운 통증을 느끼고 그것을 유발할 수있는 내가하는 일을 말할 수 없습니다.,심장이 아파
270,나는 지속적인 복통과 팽만감이 있습니다.,내부 통증
296,나는 집에서 아무것도하지 않고 여전히 피곤함을 느낀다.,몸이 약한 느낌
396,나는 코를 흘리고있다,추워요
366,나는 함께 꿰맨 상처가 있었지만 치유되지 않습니다. 녹색 고름과 화상을 내고 있습니다.,감염된 상처
657,나는 항상 매우 활동적 이었지만 지금은 짧은 산책을 할 힘이나 에너지가 없습니다.,몸이 약한 느낌
675,나는 항상 정말 슬프다.,정서적 고통
304,나는왔다 갔다하는 내 얼굴에 분출이있다.,좌창
406,날카로운 통증과 심한 호흡,내부 통증
293,"남편은 다른 여자에게 나를 떠났고, 내 마음이 너무 아파서 먹지도 잠도 못 잤습니다.",심장이 아파
177,낮은 Extremidades의 두 배 수준의 만성 뼈 질환,무릎 통증
208,내 가슴 여드름이 터져서 절대 사라지지 않습니다.,좌창
198,내 가슴에 붉은 여드름과 흰머리가 나옵니다.,좌창
90,내 관절에 뭔가 찔리는 느낌,관절 통증
346,내 귀가 울린다.,귀 통증
390,내 눈에 구름처럼 느껴지는 것을 보는 데 문제가 있습니다.,흐릿한 시야
331,내 딸은 귀를 뚫고 귓불 중 하나가 밝은 빨간색으로 뜨거워졌습니다.,감염된 상처
176,내 딸은 눈썹에 실을 꿰고 있었고 지금은 부풀어 오르고있는 그녀의 눈썹 중 하나에서 피부를 열었습니다.,감염된 상처
317,내 딸이 고양이에게 물 렸고 이제 그녀의 손이 아프고 붉고 부어 오르고 상처에 액체가 스며 나와 있습니다.,감염된 상처
394,내 마음이 아프다,심장이 아파
337,내 머리가 너무 무거워 평범하게 생각할 수 없어,두통
209,내 머리가 좋지 않아,머리카락이 빠지다
617,내 머리카락이 다발로 떨어지고 있습니다.,머리카락이 빠지다
130,내 머리카락이 빠지다,머리카락이 빠지다
103,내 몸은 엉덩이와 어깨 사이의 안쪽이 아파요.,내부 통증
180,내 무릎 뼈는 내가 걸을 때 뼈에 뼈가 삐걱 거리는 것처럼 느껴집니다.,무릎 통증
682,내 뺨의이 붉은 반점은 새로운 것입니다. 뭐야?,피부 문제
38,내 상처가 감염된 것 같아요,감염된 상처
348,내 상처가 또 열렸어,열린 상처
85,내 샤워 배수구는 매번 머리카락으로 가득 차 있습니다.,머리카락이 빠지다
131,내 속이 아프다.,내부 통증
211,내 손에 열린 상처가 감염되었습니다,감염된 상처
150,내 손자가 바다의 조개 껍질에 발을 자르고 이제 발이 회색으로 변하고 부푼 다.,감염된 상처
207,내 심장을 꿰뚫는 바늘과 같다.,심장이 아파
379,내 심장의 압도적 인 감각은 나를 숨이 멎게한다.,심장이 아파
75,내 심장이 빠르게 뛰고 무섭습니다.,심장이 아파
172,내 아들은 근관을 가지고 있었고 치과 의사가 실수로 그의 뺨 안쪽을 자르고 이제는 낫지 않을 것입니다.,감염된 상처
138,내 아들은 여드름을 짜내고 딱지가 튀어 나와서 이제 감염된 것처럼 보입니다.,감염된 상처
72,내 아들은 오래된 면도기로 목에 흠집을 냈고 그 부분에 염증이 생겨 감염된 것처럼 보입니다.,감염된 상처
3,내 아들은 입술을 뚫고 부어 오르고 입술 안쪽의 피부는 회색이고 감염된 것처럼 보입니다.,감염된 상처
255,내 아픔은 잘 낫지 않고 2 주 동안 계속되었습니다.,열린 상처
661,내 아픔은 잘 치유되지 않는 것 같습니다.,감염된 상처
356,내 어깨에이 끔찍한 느낌을 참을 수 없어,어깨 통증
228,내 얼굴에 여드름이있다,좌창
666,"내 얼굴은 고통스러운 붉은 반점과 덩어리로 터져 나갔고, 아무리 얼굴을 깨끗이 씻어도 사라지지 않는 것 같습니다.",좌창
133,내 얼굴은주기를하면서 매달 심하게 터진다.,좌창
218,내 왼쪽 어깨에 큰 아픔이 느껴져,어깨 통증
687,내 왼쪽 엉덩이에있는이 긴 흉터는 내 산악 자전거에서 떨어지는 것입니다.,스포츠로 인한 부상
679,내 왼쪽이 많이 아파,내부 통증
677,내 코는 항상 막히고 목에 끈적 끈적한 분비물이있어 잠을 잘 수 없습니다. 자주 앉아 낮잠을 자야합니다.,호흡 곤란
623,내 키가 삼키고 있는데 이는 내가 감염된 상처가 있음을 나타냅니다.,감염된 상처
80,내 피부가 가렵고 염증이 있습니다.,피부 문제
40,내 피부는 매우 건조하고 벗겨집니다.,피부 문제
146,내 피부에 붉은 얼룩이 있습니다,피부 문제
343,내 함정이 아파요,근육통
261,내가 느끼는 위장의 심한 통증,복통
403,내가 바늘을 밟았다면 내 발 뒤꿈치의이 저주받은 박차처럼 그렇게 많이 아프지 않았을 것입니다.,발 통증
440,내가 슬퍼,정서적 고통
49,내부에 통증이 있습니다,내부 통증
259,너무 빨리 일어나면 시야가 흐릿합니다.,흐릿한 시야
52,너무 빨리 일어나면 어지럽고 어지러워,어지러운
69,너무 빨리 피곤해서 아침에 옷을 거의 입을 수 없습니다.,몸이 약한 느낌
654,노력할 때마다 근육통을 느낍니다.,근육통
47,노력할 때마다 어지러워졌습니다.,어지러운
58,누군가 내 어깨에 칼을 박은 것 같아,어깨 통증
361,누군가 망치로 내 머리를 치는 것 같은 느낌이 든다. 머리 위에 통증이 느껴지고 두근 거립니다.,두통
374,눈 살균기,흐릿한 시야
185,눈이 아파 안개가 보여,흐릿한 시야
29,눈이 흐리다,흐릿한 시야
419,다 쳤어요 운동을 못해요,스포츠로 인한 부상
247,다리를 움직일 수없고 관절이 아파요,관절 통증
111,다리를 펴면 무릎 관절이 아파요,관절 통증
264,다친 사람이 있습니다,감염된 상처
192,담배를 피우면 가슴이 아파,내부 통증
681,당신은 나를 믿지 않을 것입니다. 그러나 내 손에있는이 감염된 상처는 내가 심각하게 받아들이지 않은 종이로 자른 것입니다.,감염된 상처
31,더 선명하게 보이도록 안경을 쓰려고했지만 변화를 찾을 수 없습니다,흐릿한 시야
